day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max,boot_count_max,scaled_channels
2024-01-12,2024-01-12T00:00:00Z,489.0,489.0,17.0,,,0.0,0.0,,,,,0.0,0.0,0.0,18.7,27.073,46.2,496.0,solar2_v
2024-01-13,2024-01-13T00:00:00Z,701.0,701.0,24.0,,,0.0,0.0,,,,,0.0,0.0,0.0,16.7,26.738,53.3,1197.0,solar2_v
2024-01-14,2024-01-14T00:00:00Z,656.0,656.0,24.0,,,0.356,4.272,,,,,0.0,0.0,0.0,20.4,24.9,34.7,1893.0,solar2_v
2024-01-15,2024-01-15T00:00:00Z,701.0,701.0,24.0,,,0.276,4.624,,,,,0.0,0.0,0.0,23.3,24.933,26.6,2594.0,solar2_v
2024-01-16,2024-01-16T00:00:00Z,677.0,677.0,24.0,,,0.932,4.674,,,,,0.0,0.0,0.0,23.3,24.684,26.2,3284.0,solar2_v
2024-01-17,2024-01-17T00:00:00Z,627.0,627.0,24.0,,,0.887,4.787,,,,,0.0,0.0,0.0,21.5,24.63,25.1,3975.0,solar2_v
2024-01-18,2024-01-18T00:00:00Z,688.0,688.0,24.0,,,0.989,4.634,,,,,0.0,0.0,0.0,21.8,24.659,25.2,4674.0,solar2_v
2024-01-19,2024-01-19T00:00:00Z,695.0,695.0,24.0,,,0.886,4.603,,,,,0.0,0.0,0.0,23.3,24.707,25.2,5373.0,solar2_v
2024-01-20,2024-01-20T00:00:00Z,514.0,514.0,19.0,,,1.216,4.641,,,,,0.0,0.0,0.0,19.9,24.207,25.2,5889.0,solar2_v
2024-01-28,2024-01-28T00:00:00Z,304.0,304.0,11.0,,,0.0,0.0,,,,,0.0,0.0,0.0,15.5,22.232,32.6,307.0,solar2_v
2024-01-29,2024-01-29T00:00:00Z,692.0,692.0,24.0,,,0.0,0.0,,,,,0.0,0.0,0.0,15.5,22.803,37.9,1008.0,solar2_v
2024-01-30,2024-01-30T00:00:00Z,691.0,691.0,24.0,,,0.429,5.034,,,,,0.0,0.0,0.0,15.5,24.094,30.1,1707.0,solar2_v
2024-01-31,2024-01-31T00:00:00Z,639.0,639.0,23.0,,,1.177,4.928,,,,,0.0,0.0,0.0,22.8,24.606,30.2,2401.0,solar2_v
2024-02-01,2024-02-01T00:00:00Z,586.0,586.0,21.0,,,1.384,4.993,,,,,0.0,0.0,0.0,20.9,25.366,43.8,2992.0,solar2_v
